Company,Review Title,Rating,Work-Life Balance,Culture and Values,Diversity and Inclusion,Career opportunities,Compensation and Benefits,Senior Management,Reviewer Role,Employee Status,City,State,Duration of Employment,Review Date,Pros,Cons,Recommend,CEO Approval,Business Outlook
Apple,good job,5.0,5,5,5,5,5,5,Specialist ,Former Employee,Greenwich,CT,more than 1 year,2023-01-24,"great culture, great benefits, great training","don't have too many cons, good job overall",Yes,Approve,Good
Apple,"Challenging, Rewarding,  but ZERO  work/life balance.   Most satisfying ,   most difficult and most  rewarding job ever.",4.0,1,3,N/A,3,3,3,Anonymous Employee ,Current Employee,,,more than 10 years,2014-08-28,"We work with geniuses - in every department,   We create innovative products that thrill our customers and create new product categories -  who else can say that?","ZERO   ZERO   ZERO   work/life balance.   Execs have been saying for YEARS that they understand and will make it better.  But in actuality,  it gets worse every year!  It is obviously top management LIP SERVICE because if they meant it,  they could fix it tomorrow.   They have hundreds of BILLIONS in the bank.   If they REALLY cared about employee work/life balance,  they could bring aboard the right number of folks to make that issue dissolve.   Sick of hearing the lies.   Just don't lie about wanting to fix it,  when they clearly DON'T care",Yes,Approve,Good
Apple,At-Home-Advisor,5.0,3,5,N/A,5,4,5,Home Advisor ,Current Employee,Lakewood,CO,more than 1 year,2015-05-13,"The position is at home. The company is AMAZING. There are limitless advancement opportunities. You work with some very cool people and the leadership cares about your development. You may get coaching but you never get battered or belittled. The pay is decent and the benefits include, 401(k) match, stock purchase options, product discounts and discounts on services across many different areas, education assistance, child care assistance, paid vacation, sick time and other time off options, health club Reimbursment or bike cost set off. You get 1.5 time for OT and it's pretty much unlimited as long as you don't exceed 12 hours in a day or 59 total in a week.",The schedule changes every 90 days and you have to bid for your shifts so you never know what you are going to get. This makes it extremely hard to plan your life to far in advance. You are also pretty much assured to work a Saturday or Sunday.,No answer,No answer,No answer
Apple,Changing the world (in a small way),5.0,3,4,N/A,5,5,5,Software Engineer IV ,Current Employee,Cupertino,CA,more than 5 years,2016-01-22,"Working at Apple means that the things you work on get into the hands of hundreds of millions of people, literally. It's a lot of pressure to get things right and drives one to do the best work of their lives. 2+ years later I'm still blown away by the talent and creativity of people I work with.","It's a lot of work, teams are usually strapped for resources and under pressure to deliver on strict timelines leading to high stress and long hours at certain times during the year.",Yes,Approve,Good
Apple,A Company as Meticulous as Their Products!,5.0,4,5,N/A,5,4,5,Specialist ,Current Employee,Tempe,AZ,more than 1 year,2017-03-10,"Competitive Pay, Great Benefits, Amazing People, Great Work, Awesome Opportunities, Excellent Experiences, Great atmospheres in a beautiful store, no matter where you're working!",None! I had one of the best times ever at this company. Hopefully I stay to go on to corporate!,Yes,Approve,Good
Apple,Amazing company culture,5.0,4,5,4,5,5,5,Content Strategist ,Current Employee,,,more than 8 years,2023-01-24,No company is 100% perfect but Apple really strives to walk the talk on culture and values. In my 9 years there I’ve had very supportive managers and a lot of opportunity for growth. And I’m proud to work for a company that is trying to put good into the world.,"Apple has decided not to embrace remote-work culture, and they’re already losing good people because of that.",Yes,Approve,Good
Apple,The most employee-friendly company I have worked for,5.0,4,5,5,4,5,5,Sales Specialist ,Current Employee,Santa Clara,CA,more than 1 year,2023-01-18,"I know it's retail, but Apple is very well-focused on customer experience and employees. It provides many benefits and a higher wage than any place with so much care for its employees. Great workplace if you love exposure to ambiguity, new changes, and challenges. Working with customers can be stressful,","Work-life balance: weekends, holidays since it's retail Sometimes, too many changes in a short duration of time Feedback culture, but rarely teaches employees to provide/receive feedback.",Yes,Approve,Good
Apple,good,4.0,4,4,4,4,4,4,SRE/DevOps Engineer ,Current Employee,Raleigh,NC,,2023-01-21,"Some pros of working at Apple include the opportunity to work on cutting-edge technology and products, a strong company culture and brand, competitive compensation and benefits, and potential for career advancement. Additionally, many employees report a positive work-life balance and a supportive and collaborative work environment.","Some potential cons of working at Apple include a competitive and fast-paced work environment, which can be stressful for some employees. Additionally, there may be a high expectation for secrecy and confidentiality, which can make it difficult to share information or collaborate with others outside the company. Some former employees also reported feeling micromanaged or having limited autonomy in their work. Additionally, some employees may find the company culture to be exclusive or insular, and may not feel that they fit in with the company's values and way of working.",Yes,Approve,Good
Apple,Experience @ Apple,5.0,N/A,N/A,N/A,5,N/A,N/A,Software Engineer ,Current Employee,New York,NY,less than 1 year,2022-12-28,"Innovative and dynamic work environment: Apple is known for being at the forefront of technology and innovation, and this is reflected in the company's work environment. Employees at Apple have the opportunity to work on cutting-edge projects and products that are shaping the future. Great benefits: Apple offers a range of benefits to its employees, including health insurance, 401(k) matching, and employee discounts on Apple products. Employee development: Apple places a strong emphasis on employee development and provides a range of resources and opportunities for employees to learn and grow in their careers.","High expectations: Apple is known for having high expectations for its employees, which can lead to a demanding work environment. Long hours: Depending on the role, working at Apple may require long hours, including evenings and weekends. Competition for promotions: Because Apple is a highly sought-after employer, there may be competition for promotions and opportunities for advancement within the company.",Yes,Approve,Good
Apple,Great Job,5.0,5,5,5,5,5,5,Technical Specialist ,Current Employee,Thousand Oaks,CA,,2023-01-19,Flexible Scheduling Amazing Team Learning / Growth Opportunities,Can get overwhelming during holidays,No answer,No answer,No answer
